question,choice,view,segment,year,value
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2016,59.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2018,55.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2020,49.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2022,49.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2024,50.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2016,76.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2018,73.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2020,67.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2022,70.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,30代,2024,65.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2016,80.1
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2018,75.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2020,78.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2022,78.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,40代,2024,74.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2016,83.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2018,82.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2020,82.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2022,81.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,50代,2024,83.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2016,80.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2018,83.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2020,85.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2022,78.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,60代,2024,78.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2016,74.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2018,64.1
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2020,61.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2022,62.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性20代,2024,58.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2016,84.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2018,80.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2020,80.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2022,79.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性30代,2024,75.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2016,87.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2018,79.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2020,89.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2022,86.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性40代,2024,82.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2016,90.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2018,89.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2020,91.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2022,90.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性50代,2024,88.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2016,86.1
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2018,87.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2020,88.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2022,82.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(男性),男性60代,2024,82.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2016,42.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2018,45.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2020,35.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2022,36.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性20代,2024,41.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2016,64.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2018,64.1
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2020,50.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2022,59.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性30代,2024,52.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2016,71.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2018,70.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2020,66.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2022,67.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性40代,2024,63.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2016,73.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2018,72.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2020,72.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2022,70.0
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性50代,2024,76.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別(女性),女性60代,2012,
